dataset,model,total_predictions,valid_predictions,zero_predictions,success_rate,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],RMSE[mean],NRMSE[mean],ND[0.5],mean_wql,domain,num_variates
covid_deaths/D/short,qwen2.5-7B-instruct-openrouter,266,226,40,0.8496,884576.5869674186,884576.5869674186,146.2095238095238,60.23905998770714,0.15029622438735335,0.17358109446627457,940.5193177002898,0.3538749703781009,0.05501204487070317,0.05501204487070317,Healthcare,1
hierarchical_sales/W/short,qwen2.5-7B-instruct-openrouter,472,472,0,1.0000,592.2396716101695,592.2396716101695,11.070180084745763,0.9198929492056024,0.7550749091071198,0.541073604894706,24.335974844048664,1.1172765087009588,0.5082373825185114,0.5082373825185112,Sales,1
hospital/M/short,qwen2.5-7B-instruct-openrouter,767,767,0,1.0000,5795.959365493264,5795.959365493264,25.358974358974358,0.9700847608848157,0.24413947887125723,0.21488419305497933,76.13119837158261,0.2763739288318479,0.0920589656362471,0.0920589656362471,Healthcare,1
kdd_cup_2018/D/short,qwen2.5-7B-instruct-openrouter,540,540,0,1.0000,5095.48860401641,5095.48860401641,31.589070662631965,1.8829530766475344,1.0150270772253824,0.6062015951469774,71.38269120743774,1.599048030225057,0.7076287033355589,0.7076287033355589,Nature,1
m4_hourly/H/short,qwen2.5-7B-instruct-openrouter,414,414,0,1.0000,745141281.6862998,745141281.6862998,2773.9584993956555,29.546633680978726,7.380639278614565,0.508422137231828,27297.27608546867,3.7266807107229285,0.3787065639690994,0.3787065639690994,Econ/Fin,1
m4_weekly/W/short,qwen2.5-7B-instruct-openrouter,359,359,0,1.0000,1531046.4690390546,1531046.4690390546,639.3037550652326,6.803980850337113,0.3169371337150179,0.16510504956550315,1237.3546254162768,0.2254268370466297,0.1164712366658058,0.1164712366658058,Econ/Fin,1
restaurant/D/short,qwen2.5-7B-instruct-openrouter,807,807,0,1.0000,2849.335598056736,2849.335598056736,12.522076552722517,1.183864568649419,1.169271387047953,0.5573661361967381,53.37916820311774,2.4566329989975486,0.5762949763161515,0.5762949763161515,Sales,1
solar/W/short,qwen2.5-7B-instruct-openrouter,137,137,0,1.0000,4948751.004910377,4948751.004910377,1807.0120143395195,2.0111666951498006,0.41492217254581715,0.3228627657286956,2224.5788376477867,0.4540921579797089,0.36885632965668325,0.3688563296566832,Energy,1
