dataset,model,total_predictions,valid_predictions,zero_predictions,success_rate,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],RMSE[mean],NRMSE[mean],ND[0.5],mean_wql,domain,num_variates
covid_deaths/D/short,qwen3-max-think-openrouter,266,229,37,0.8609,612123.9880952381,612123.9880952381,133.81466165413534,42.33271423164074,0.11297634706269895,0.12400367167681059,782.3835300511113,0.2943756106978532,0.05034841766440216,0.05034841766440216,Healthcare,1
hierarchical_sales/W/short,qwen3-max-think-openrouter,472,472,0,1.0000,738.6106806144066,738.6106806144066,10.879422669491525,0.8966648026852593,0.6454315590270744,0.5307128128314387,27.177392822241185,1.2477273979206867,0.49947961627779736,0.4994796162777974,Sales,1
hospital/M/short,qwen3-max-think-openrouter,767,767,0,1.0000,7680.524482974794,7680.524482974794,27.453910256410257,0.9930528510451707,0.2470840018349346,0.21286700377353557,87.63860155761726,0.3181484745792277,0.09966406941773899,0.099664069417739,Healthcare,1
kdd_cup_2018/D/short,qwen3-max-think-openrouter,540,540,0,1.0000,2899.231345908412,2899.231345908412,23.14915223956292,1.369141276417979,0.5983815731611519,0.5187072025110383,53.84451082430234,1.2061741791413603,0.5185655747061003,0.5185655747061003,Nature,1
m4_hourly/H/short,qwen3-max-think-openrouter,414,414,0,1.0000,103521636.20961334,103521636.20961334,1553.6690549658576,19.3787241334505,0.9643798916179229,0.3503251186515981,10174.558280810688,1.3890517854786324,0.21211011970057425,0.21211011970057425,Econ/Fin,1
m4_weekly/W/short,qwen3-max-think-openrouter,359,359,0,1.0000,3891053.227480844,3891053.227480844,565.3726840621762,4.794474436312481,0.16216706379204168,0.13188405981225348,1972.5752780263783,0.359372645988424,0.10300214126392622,0.10300214126392622,Econ/Fin,1
restaurant/D/short,qwen3-max-think-openrouter,807,807,0,1.0000,287.9703887923788,287.9703887923788,10.658576632109835,0.995949939396475,0.8774603002682035,0.5441173768966153,16.96969029747976,0.7809844658673868,0.4905323922836216,0.49053239228362167,Sales,1
solar/W/short,qwen3-max-think-openrouter,137,137,0,1.0000,6656047.818288333,6656047.818288333,2174.8210392279634,2.40470368722209,0.4983453567495883,0.3765409051675413,2579.931746827488,0.5266285710044769,0.4439353473158676,0.44393534731586753,Energy,1
