dataset,model,total_predictions,valid_predictions,zero_predictions,success_rate,eval_metrics/MSE[mean]_all,eval_metrics/MAE[0.5]_all,eval_metrics/RMSE[mean]_all,eval_metrics/MAPE[0.5]_all,eval_metrics/sMAPE[0.5]_all,eval_metrics/MSE[mean]_valid,eval_metrics/MAE[0.5]_valid,eval_metrics/RMSE[mean]_valid,eval_metrics/MAPE[0.5]_valid,eval_metrics/sMAPE[0.5]_valid,eval_metrics/MASE[0.5],eval_metrics/MSIS,eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
kdd_cup_2018/D/short,qwen3-max-openrouter-thinking,540,540,0,1.0000,2899.231345908412,23.14915223956292,53.84451082430234,0.5983815731611519,0.5187072025110383,2899.231345908412,23.14915223956292,53.84451082430234,0.5983815731611519,0.5187072025110383,1.369141276417979,54.76565105671915,1.2061741791413603,0.5185655747061003,0.5185655747061003,Nature,1
restaurant/D/short,qwen3-max-openrouter-thinking,807,807,0,1.0000,287.9703887923788,10.658576632109835,16.96969029747976,0.8774603002682035,0.5441173768966153,287.9703887923788,10.658576632109835,16.96969029747976,0.8774603002682035,0.5441173768966153,0.995949939396475,39.837997575859006,0.7809844658673868,0.4905323922836216,0.49053239228362167,Sales,1
hierarchical_sales/W/short,qwen3-max-openrouter-thinking,472,472,0,1.0000,738.6106806144066,10.879422669491525,27.177392822241185,0.6454315590270744,0.5307128128314387,738.6106806144066,10.879422669491525,27.177392822241185,0.6454315590270744,0.5307128128314387,0.8966648026852593,35.86659210741037,1.2477273979206867,0.49947961627779736,0.4994796162777974,Sales,1
solar/W/short,qwen3-max-openrouter-thinking,137,137,0,1.0000,6656047.818288333,2174.8210392279634,2579.931746827488,0.4983453567495883,0.3765409051675413,6656047.818288333,2174.8210392279634,2579.931746827488,0.4983453567495883,0.3765409051675413,2.40470368722209,96.1881474888836,0.5266285710044769,0.4439353473158676,0.44393534731586753,Energy,1
sz_taxi/H/short,qwen3-max-openrouter-thinking,312,312,0,1.0000,87.06602832705406,4.326875771883225,9.330917871627317,1.4955106515559213,0.48442747029383404,87.06602832705406,4.326875771883225,9.330917871627317,1.4955106515559213,0.48442747029383404,1.346100392591896,24.765724716925646,0.8692325797891827,0.40307517881576166,0.35936715560866966,Transport,1
m_dense/D/short,qwen3-max-openrouter-thinking,90,90,0,1.0000,102243.10138311189,175.48656105398106,319.75475193202664,0.37275412775528965,0.3059283063147782,102243.10138311189,175.48656105398106,319.75475193202664,0.37275412775528965,0.3059283063147782,2.2424141303493066,49.63061443056631,0.553542773517907,0.303793195047153,0.26975193738149145,Transport,1
m4_hourly/H/short,qwen3-max-openrouter-thinking,414,414,0,1.0000,103521636.20961334,1553.6690549658576,10174.558280810688,0.9643798916179229,0.3503251186515981,103521636.20961334,1553.6690549658576,10174.558280810688,0.9643798916179229,0.3503251186515981,19.3787241334505,775.14896533802,1.3890517854786324,0.21211011970057425,0.21211011970057425,Econ/Fin,1
m4_weekly/W/short,qwen3-max-openrouter-thinking,359,359,0,1.0000,3891053.227480844,565.3726840621762,1972.5752780263783,0.16216706379204168,0.13188405981225348,3891053.227480844,565.3726840621762,1972.5752780263783,0.16216706379204168,0.13188405981225348,4.794474436312481,191.7789774524993,0.359372645988424,0.10300214126392622,0.10300214126392622,Econ/Fin,1
hospital/M/short,qwen3-max-openrouter-thinking,767,767,0,1.0000,7680.524482974794,27.453910256410257,87.63860155761726,0.2470840018349346,0.21286700377353557,7680.524482974794,27.453910256410257,87.63860155761726,0.2470840018349346,0.21286700377353557,0.9930528510451707,39.722114041806826,0.3181484745792277,0.09966406941773899,0.099664069417739,Healthcare,1
