dataset,model,total_predictions,valid_predictions,zero_predictions,success_rate,eval_metrics/MSE[mean]_all,eval_metrics/MAE[0.5]_all,eval_metrics/RMSE[mean]_all,eval_metrics/MAPE[0.5]_all,eval_metrics/sMAPE[0.5]_all,eval_metrics/MSE[mean]_valid,eval_metrics/MAE[0.5]_valid,eval_metrics/RMSE[mean]_valid,eval_metrics/MAPE[0.5]_valid,eval_metrics/sMAPE[0.5]_valid,eval_metrics/MASE[0.5],eval_metrics/MSIS,eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
kdd_cup_2018/D/short,qwen3-max-non-think-official,540,540,0,1.0000,3305.0842746855706,25.90173418623245,57.48986236446884,0.7448996673427689,0.593264617214396,3305.0842746855706,25.90173418623245,57.48986236446884,0.7448996673427689,0.593264617214396,1.571775554477265,62.87102217909059,1.287833921877058,0.5802263311920698,0.5802263311920697,Nature,1
restaurant/D/short,qwen3-max-non-think-official,807,807,0,1.0000,232.9872913701317,9.864380311945457,15.26392123178483,0.9557205491329298,0.49553556432937457,232.9872913701317,9.864380311945457,15.26392123178483,0.9557205491329298,0.49553556432937457,0.9220797361066732,36.883189444266925,0.7024810212368907,0.4539816374952719,0.4539816374952718,Sales,1
hierarchical_sales/W/short,qwen3-max-non-think-official,472,472,0,1.0000,761.5909301112288,11.680908368644069,27.596936969729608,0.8209235360362407,0.5335240611659036,761.5909301112288,11.680908368644069,27.596936969729608,0.8209235360362407,0.5335240611659036,0.9150702105826101,36.602808423304396,1.2669888749461866,0.5362762167617056,0.5362762167617056,Sales,1
solar/W/short,qwen3-max-non-think-official,137,137,0,1.0000,6915837.972130032,2200.5189211216393,2629.7980858100177,0.5046041059506785,0.38058898121443246,6915837.972130032,2200.5189211216393,2629.7980858100177,0.5046041059506785,0.38058898121443246,2.4383751282672885,97.53500513069156,0.5368075375108147,0.4491809274891222,0.4491809274891222,Energy,1
sz_taxi/H/short,qwen3-max-non-think-official,312,312,0,1.0000,71.91685279564835,5.275339937312044,8.480380462906624,2.8544024865090165,0.5376517215265503,71.91685279564835,5.275339937312044,8.480380462906624,2.8544024865090165,0.5376517215265503,1.6250426888877954,32.662980209013575,0.7899997715959456,0.4914304686913871,0.42565190545963116,Transport,1
m_dense/D/short,qwen3-max-non-think-official,90,90,0,1.0000,34636.32444520964,116.32523245402358,186.1083674776866,0.2889649712875681,0.22379488986745846,34636.32444520964,116.32523245402358,186.1083674776866,0.2889649712875681,0.22379488986745846,1.6447499344733394,41.20610667711991,0.32218111313757186,0.2013761841337816,0.17702553307261584,Transport,1
m4_hourly/H/short,qwen3-max-non-think-official,414,414,0,1.0000,59063198.13110327,1141.8200067956088,7685.258494748454,0.5604285022083282,0.30668800124103474,59063198.13110327,1141.8200067956088,7685.258494748454,0.5604285022083282,0.30668800124103474,5.764764009840348,230.5905603936139,1.0492074190708343,0.1558836339977495,0.15588363399774952,Econ/Fin,1
m4_weekly/W/short,qwen3-max-non-think-official,359,359,0,1.0000,924786.7517910388,491.82771060352115,961.6583342284508,0.1912075912888044,0.12866920840717058,924786.7517910388,491.82771060352115,961.6583342284508,0.1912075912888044,0.12866920840717058,4.099380866460358,163.78225882587867,0.17519924535112072,0.08960338685115199,0.08959529526953794,Econ/Fin,1
hospital/M/short,qwen3-max-non-think-official,767,767,0,1.0000,6133.113434202521,24.846907866145155,78.31419688793675,0.22953514677831632,0.19728258523551528,6133.113434202521,24.846907866145155,78.31419688793675,0.22953514677831632,0.19728258523551528,0.9118641525539578,36.47456610215831,0.2842987203694009,0.09020004535818173,0.09020004535818174,Healthcare,1
