dataset,model,total_predictions,valid_predictions,zero_predictions,success_rate,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],RMSE[mean],NRMSE[mean],ND[0.5],mean_wql,domain,num_variates
hierarchical_sales/W/short,qwen-max,472,23,449,0.0487,1251.96198125,1251.96198125,21.411393008474576,1.8841332174374537,0.9992662058163961,1.925727528654024,35.38307478512856,1.624454270534432,0.9830075261103748,0.9830075261103749,Sales,1
kdd_cup_2018/D/short,qwen-max,540,540,0,1.0000,3305.0842746855706,3305.0842746855706,25.90173418623245,1.571775554477265,0.7448996673427689,0.593264617214396,57.48986236446884,1.287833921877058,0.5802263311920698,0.5802263311920697,Nature,1
restaurant/D/short,qwen-max,807,807,0,1.0000,232.9872913701317,232.9872913701317,9.864380311945457,0.9220797361066732,0.9557205491329298,0.49553556432937457,15.26392123178483,0.7024810212368907,0.4539816374952719,0.4539816374952718,Sales,1
