dataset,model,total_predictions,valid_predictions,zero_predictions,success_rate,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],RMSE[mean],NRMSE[mean],ND[0.5],mean_wql,domain,num_variates
covid_deaths/D/short,gpt-5,266,227,39,0.8534,330547.41623656225,330547.41623656225,100.43677097744362,32.20687813450497,0.08821227207018115,0.12299469442425873,574.9325318996675,0.21632116307071436,0.03778982386180074,0.03778982386180074,Healthcare,1
hierarchical_sales/W/short,gpt-5,472,118,354,0.2500,1328.3925546882124,1328.3925546882124,21.200244147245762,1.9063333843123682,1.1469697355008357,1.6906136431203285,36.44711997796551,1.6733051058007922,0.97331357861077,0.9733135786107702,Sales,1
hospital/M/short,gpt-5,767,763,4,0.9948,3630.6759945595736,3630.6759945595736,20.40604556714472,0.922020326771879,0.2302708053956649,0.21461182313883045,60.255091026066616,0.2187399725105427,0.07407868398165952,0.07407868398165952,Healthcare,1
kdd_cup_2018/D/short,gpt-5,540,270,270,0.5000,5414.603389878406,5414.603389878406,43.28552247997156,11.076442518840361,5.786034824022156,1.5748484570153884,73.58398867877716,1.648359429472469,0.9696416356413444,0.9696416356413445,Nature,1
m4_hourly/H/short,gpt-5,414,308,106,0.7440,80255661.77999751,80255661.77999751,1111.2650412738226,37.20904272150721,0.479048959718655,0.6798580815674359,8958.552437754523,1.2230401473483299,0.15171220677291145,0.15171220677291145,Econ/Fin,1
m4_weekly/W/short,gpt-5,359,357,2,0.9944,817759.2231882582,817759.2231882582,403.29408320038647,3.2814278172680726,0.10102573544308177,0.10516443432834825,904.3004053898562,0.16474951961200202,0.07347393197394639,0.0734739319739464,Econ/Fin,1
restaurant/D/short,gpt-5,807,804,3,0.9963,233.38339058949006,233.38339058949006,9.702633258615858,0.9120417007540852,0.9173731856144771,0.4966316779017163,15.276890736975574,0.7030779079158104,0.4465376633368866,0.44653766333688666,Sales,1
solar/W/short,gpt-5,137,136,1,0.9927,4925611.631355585,4925611.631355585,1803.8248055807517,1.9958064402845266,0.413950422641524,0.3323116136625944,2219.371900190589,0.4530292918648337,0.36820574066486716,0.3682057406648671,Energy,1
