dataset,model,total_predictions,valid_predictions,zero_predictions,success_rate,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],RMSE[mean],NRMSE[mean],ND[0.5],mean_wql,domain,num_variates
hierarchical_sales/W/short,qwen-max-think,472,472,0,1.0000,546.7297934322035,546.7297934322035,10.274735169491526,0.8711131221734036,0.6271981208530094,0.5184596764304914,23.3822538142114,1.073490709721476,0.47171811737814145,0.47171811737814145,Sales,1
kdd_cup_2018/D/short,qwen-max-think,540,540,0,1.0000,2902.504472351081,2902.504472351081,22.888217659443367,1.3905553370270207,0.6066653290689611,0.5171950523691297,53.874896495038215,1.2068548504093581,0.5127203632227556,0.5127203632227556,Nature,1
restaurant/D/short,qwen-max-think,807,805,2,0.9975,269.0584013962828,269.0584013962828,10.550375922293826,0.9902847108799386,0.8648901303012559,0.5538799352394455,16.40299976822175,0.7549040547021693,0.4855527449193632,0.4855527449193631,Sales,1
solar/W/short,qwen-max-think,137,137,0,1.0000,6450374.642239758,6450374.642239758,2154.2487694707493,2.390889971289411,0.49568912392958214,0.374941118719631,2539.758776387978,0.5184282633639434,0.43973603272629264,0.4397360327262927,Energy,1
