dataset,model,total_predictions,valid_predictions,zero_predictions,success_rate,eval_metrics/MSE[mean]_all,eval_metrics/MAE[0.5]_all,eval_metrics/RMSE[mean]_all,eval_metrics/MAPE[0.5]_all,eval_metrics/sMAPE[0.5]_all,eval_metrics/MSE[mean]_valid,eval_metrics/MAE[0.5]_valid,eval_metrics/RMSE[mean]_valid,eval_metrics/MAPE[0.5]_valid,eval_metrics/sMAPE[0.5]_valid,eval_metrics/MASE[0.5],eval_metrics/MSIS,eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
kdd_cup_2018/D/short,gpt-5,540,540,0,1.0000,2951.2088440197217,24.031311993024367,54.32502962741688,0.6555896392581411,0.5662980486079993,2951.2088440197217,24.031311993024367,54.32502962741688,0.6555896392581411,0.5662980486079993,1.4334018457101623,57.3360738284065,1.2169383102298552,0.5383268892804852,0.5383268892804851,Nature,1
restaurant/D/short,gpt-5,807,807,0,1.0000,230.63654273294762,9.651778677500701,15.186722580364323,0.9168823980383328,0.491597046472278,230.63654273294762,9.651778677500701,15.186722580364323,0.9168823980383328,0.491597046472278,0.9090870180252396,36.36348072100958,0.6989281604310409,0.44419721768508647,0.4441972176850865,Sales,1
hierarchical_sales/W/short,gpt-5,472,472,0,1.0000,828.2303924604025,11.774239459745763,28.778992207170884,0.7888622377355845,0.5386031553500705,828.2303924604025,11.774239459745763,28.778992207170884,0.7888622377355845,0.5386031553500705,0.9072370915642038,36.28948366256815,1.3212576090833374,0.5405610928058167,0.5405610928058167,Sales,1
solar/W/short,gpt-5,137,137,0,1.0000,4447261.091710259,1758.5983818281854,2108.8530275271105,0.40868159969569956,0.3194443738147946,4447261.091710259,1758.5983818281854,2108.8530275271105,0.40868159969569956,0.3194443738147946,1.9580859174240601,78.3234366969624,0.4304696268460346,0.3589738968605708,0.35897389686057074,Energy,1
sz_taxi/H/short,gpt-5,312,312,0,1.0000,11.925729001114135,2.4303918364710966,3.4533648809695934,1.5581870979419714,0.3834646005023582,11.925729001114135,2.4303918364710966,3.4533648809695934,1.5581870979419714,0.3834646005023582,0.7381136316255225,28.858902056807427,0.3217022489894718,0.2264059972425742,0.2253692042464713,Transport,1
m_dense/D/short,gpt-5,90,90,0,1.0000,16613.45364214423,63.68997433694459,128.89318695006432,0.16970977738248705,0.1361362833309731,16613.45364214423,63.68997433694459,128.89318695006432,0.16970977738248705,0.1361362833309731,0.9571287200819867,32.135609663339835,0.22313317241042227,0.11025676655855032,0.10625647134725293,Transport,1
