dataset,model,total_predictions,valid_predictions,zero_predictions,success_rate,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],RMSE[mean],NRMSE[mean],ND[0.5],mean_wql,domain,num_variates
covid_deaths/D/short,gpt-5,266,229,37,0.8609,258446.79029671263,258446.79029671263,86.6599539348371,29.974865945496475,0.08076973016080352,0.10692198370537945,508.3766224923336,0.1912791782579014,0.032606229403818035,0.032606229403818035,Healthcare,1
hierarchical_sales/W/short,gpt-5,472,472,0,1.0000,828.2303924604025,828.2303924604025,11.774239459745763,0.9072370915642038,0.7888622377355845,0.5386031553500705,28.778992207170884,1.3212576090833374,0.5405610928058167,0.5405610928058167,Sales,1
hospital/M/short,gpt-5,767,766,1,0.9987,3601.3851818694397,3601.3851818694397,20.151764819643635,0.9011397959549183,0.2271529559596752,0.20751041502099585,60.01154207208343,0.21785583325206564,0.07315558582063798,0.07315558582063798,Healthcare,1
kdd_cup_2018/D/short,gpt-5,540,540,0,1.0000,2951.2088440197217,2951.2088440197217,24.031311993024367,1.4334018457101623,0.6555896392581411,0.5662980486079993,54.32502962741688,1.2169383102298552,0.5383268892804852,0.5383268892804851,Nature,1
m4_hourly/H/short,gpt-5,414,352,62,0.8502,52666274.81254782,52666274.81254782,812.556546916977,22.43287609594174,0.3862761082600504,0.4786128547422232,7257.153354625201,0.9907616180003034,0.11093190398506891,0.11093190398506893,Econ/Fin,1
m4_weekly/W/short,gpt-5,359,359,0,1.0000,542153.8899794726,542153.8899794726,377.11335365249704,3.149520699249216,0.09654532126981027,0.09519319101263304,736.3110008545796,0.13414445349444173,0.0687042087819646,0.06870420878196459,Econ/Fin,1
restaurant/D/short,gpt-5,807,807,0,1.0000,230.63654273294762,230.63654273294762,9.651778677500701,0.9090870180252396,0.9168823980383328,0.491597046472278,15.186722580364323,0.6989281604310409,0.44419721768508647,0.4441972176850865,Sales,1
solar/W/short,gpt-5,137,137,0,1.0000,4447261.091710259,4447261.091710259,1758.5983818281854,1.9580859174240601,0.40868159969569956,0.3194443738147946,2108.8530275271105,0.4304696268460346,0.3589738968605708,0.35897389686057074,Energy,1
